vt_PGAout X,vt_PGAout Y,vt_muxOut X,vt_muxOut Y,t_ADC_INN X,t_ADC_INN Y,t_ext_in1 X,t_ext_in1 Y,/EXT_IN<1> X,/EXT_IN<1> Y
8.349999999999999e-07,0.0005437972272267869,8.349999999999999e-07,1.011500727747929e-06,8.349999999999999e-07,1.004843611038147,8.349999999999999e-07,0,8.349999999999999e-07,0
8.5e-07,0.0005413393355249401,8.5e-07,1.039065711019422e-06,8.5e-07,1.004843612220148,8.5e-07,0,8.5e-07,0
8.6e-07,0.0005398341467966404,8.6e-07,1.056941968287576e-06,8.6e-07,1.004843613058523,8.6e-07,0,8.6e-07,0
8.799999999999999e-07,0.0005370914255917712,8.799999999999999e-07,1.091000519955102e-06,8.799999999999999e-07,1.004843614834888,8.799999999999999e-07,0,8.799999999999999e-07,0
9.1e-07,0.0005332684875629132,9.1e-07,1.139457643234929e-06,9.1e-07,1.004843617607456,9.1e-07,0,9.1e-07,0
9.2e-07,0.0005321416056366079,9.2e-07,1.153492383628218e-06,9.2e-07,1.004843618588335,9.2e-07,0,9.2e-07,0
9.349999999999999e-07,0.000530565772722035,9.349999999999999e-07,1.173708010311967e-06,9.349999999999999e-07,1.004843620101409,9.349999999999999e-07,0,9.349999999999999e-07,0
9.5e-07,0.0005290473693576872,9.5e-07,1.193447603884715e-06,9.5e-07,1.004843621635377,9.5e-07,0,9.5e-07,0
9.599999999999999e-07,0.0005281163463360656,9.599999999999999e-07,1.205531870602101e-06,9.599999999999999e-07,1.004843622689174,9.599999999999999e-07,0,9.599999999999999e-07,0
9.799999999999e-07,0.0005264176166350326,9.799999999999e-07,1.228232068115005e-06,9.799999999999e-07,1.004843624857298,9.799999999999e-07,0,9.799999999999e-07,0
1e-06,0.000524799487295531,1e-06,1.250083340639028e-06,1e-06,1.004843627057115,1e-06,0,1e-06,0
1.00125e-06,0.0005247037943755124,1.00125e-06,1.251341700512575e-06,1.00125e-06,1.004843627195738,1.00125e-06,0,1.00125e-06,0
1.0021289294531e-06,0.0005246366591866484,1.0021289294531e-06,1.25222931303704e-06,1.0021289294531e-06,1.004843627293592,1.0021289294531e-06,0,1.0021289294531e-06,0
1.0038867883594e-06,0.0005245032344434246,1.0038867883594e-06,1.254006070661045e-06,1.0038867883594e-06,1.004843627489924,1.0038867883594e-06,0,1.0038867883594e-06,0
1.004281828e-06,0.0005244734048151088,1.004281828e-06,1.254405338925203e-06,1.004281828e-06,1.004843627534148,1.004281828e-06,0,1.004281828e-06,0
1.004331828e-06,0.000524469400492714,1.004331828e-06,1.253902348691306e-06,1.004331828e-06,1.004843623944832,1.004331828e-06,0,1.004331828e-06,0
1.004406828e-06,0.0005244641073753779,1.004406828e-06,1.254885964676019e-06,1.004406828e-06,1.004843628641915,1.004406828e-06,0,1.004406828e-06,0
1.004481828e-06,0.0005244627050493973,1.004481828e-06,1.271855129304212e-06,1.004481828e-06,1.004843679596907,1.004481828e-06,0,1.004481828e-06,0
1.0045927649832e-06,0.0005244491586258855,1.0045927649832e-06,1.249982426802976e-06,1.0045927649832e-06,1.004843521479208,1.0045927649832e-06,0,1.0045927649832e-06,0
1.004645533e-06,0.0005244449710759565,1.004645533e-06,1.250820146178964e-06,1.004645533e-06,1.004843448239289,1.004645533e-06,0,1.004645533e-06,0
1.0046719170083e-06,0.0005244439439041419,1.0046719170083e-06,1.254804912918347e-06,1.0046719170083e-06,1.004849056196234,1.0046719170083e-06,0,1.0046719170083e-06,0
1.0046851090125e-06,0.0005244433916778133,1.0046851090125e-06,1.256552636233234e-06,1.0046851090125e-06,1.004852340389431,1.0046851090125e-06,0,1.0046851090125e-06,0
1.0047114930208e-06,0.0005244409761731084,1.0047114930208e-06,1.255041346738739e-06,1.0047114930208e-06,1.004853843559294,1.0047114930208e-06,0,1.0047114930208e-06,0
1.0047642610376e-06,0.0005244344889938913,1.0047642610376e-06,1.245386485971341e-06,1.0047642610376e-06,1.00483776289982,1.0047642610376e-06,0,1.0047642610376e-06,0
1.0047845790282e-06,0.0005244280873893355,1.0047845790282e-06,1.225438903687968e-06,1.0047845790282e-06,1.004803413132158,1.0047845790282e-06,0,1.0047845790282e-06,0
1.0048150560141e-06,0.0005244117428512291,1.0048150560141e-06,1.172855889378698e-06,1.0048150560141e-06,1.00469633041705,1.0048150560141e-06,0,1.0048150560141e-06,0
1.004845533e-06,0.0005243871765860414,1.004845533e-06,1.090375611734443e-06,1.004845533e-06,1.004504295449339,1.004845533e-06,0,1.004845533e-06,0
1.0048607714929e-06,0.0005244265054332924,1.0048607714929e-06,1.260140745335624e-06,1.0048607714929e-06,1.004671347374069,1.0048607714929e-06,0,1.0048607714929e-06,0
1.0048912484788e-06,0.0005246259040496533,1.0048912484788e-06,2.029831702202225e-06,1.0048912484788e-06,1.005856771964405,1.0048912484788e-06,0,1.0048912484788e-06,0
1.0049371572289e-06,0.0005248019223275849,1.0049371572289e-06,2.588158355786924e-06,1.0049371572289e-06,1.008400159965598,1.0049371572289e-06,0,1.0049371572289e-06,0
1.0049550235817e-06,0.0005247749803837645,1.0049550235817e-06,2.427198618700133e-06,1.0049550235817e-06,1.009302945798244,1.0049550235817e-06,0,1.0049550235817e-06,0
1.0049907562874e-06,0.0005246280375417485,1.0049907562874e-06,1.942963381745911e-06,1.0049907562874e-06,1.010309545604224,1.0049907562874e-06,0,1.0049907562874e-06,0
1.0050622216988e-06,0.0005243257879788856,1.0050622216988e-06,1.045228168324709e-06,1.0050622216988e-06,1.010365488737705,1.0050622216988e-06,0,1.0050622216988e-06,0
1.0051411193493e-06,0.0005241988693349899,1.0051411193493e-06,6.203317242244877e-07,1.0051411193493e-06,1.009465613212408,1.0051411193493e-06,0,1.0051411193493e-06,0
1.0051736597449e-06,0.0005242259965493279,1.0051736597449e-06,7.02816531341827e-07,1.0051736597449e-06,1.009071611927463,1.0051736597449e-06,0,1.0051736597449e-06,0
1.0052310777852e-06,0.0005242609465300495,1.0052310777852e-06,7.771268506979234e-07,1.0052310777852e-06,1.008500096694027,1.0052310777852e-06,0,1.0052310777852e-06,0
1.0052597868053e-06,0.0005242752684906193,1.0052597868053e-06,8.166661958886218e-07,1.0052597868053e-06,1.008259420410889,1.0052597868053e-06,0,1.0052597868053e-06,0
1.0053172048456e-06,0.0005243044540317005,1.0053172048456e-06,9.228553939743325e-07,1.0053172048456e-06,1.007832418080759,1.0053172048456e-06,0,1.0053172048456e-06,0
1.0054199331891e-06,0.0005243469067712437,1.0054199331891e-06,1.091715924031481e-06,1.0054199331891e-06,1.007237873066286,1.0054199331891e-06,0,1.0054199331891e-06,0
1.0054539259376e-06,0.0005243562811332151,1.0054539259376e-06,1.13122510687204e-06,1.0054539259376e-06,1.007079284496215,1.0054539259376e-06,0,1.0054539259376e-06,0
1.0055219114345e-06,0.0005243692526143667,1.0055219114345e-06,1.193612882508075e-06,1.0055219114345e-06,1.006805699971344,1.0055219114345e-06,0,1.0055219114345e-06,0
1.0056343576687e-06,0.000524378827631344,1.0056343576687e-06,1.258054976610487e-06,1.0056343576687e-06,1.006447391496041,1.0056343576687e-06,0,1.0056343576687e-06,0
